BASELINES-PERCENTILES,,,,,,,,,,,,
RESEARCH FIELDS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,ALL YEARS
0.10%,2856,818,1349,910,1286,964,516,407,335,252,15,737
1.00%,648,450,353,313,380,191,133,84,47,22,4,192
10.00%,85,90,60,70,54,43,29,21,12,5,1,29
20.00%,26,35,26,35,27,22,17,12,7,3,1,12
50.00%,2,2,2,5,4,4,5,4,2,1,1,2
NEUROSCIENCE & BEHAVIOR,,,,,,,,,,,,
0.01%,1636,1758,1051,1192,1225,1133,470,530,208,88,19,1050
0.10%,685,708,511,553,436,366,247,179,103,39,10,434
1.00%,274,252,222,193,167,125,98,67,40,17,5,154
10.00%,81,76,68,59,51,41,32,23,14,6,2,43
20.00%,51,48,42,38,32,27,21,15,9,4,1,25
50.00%,20,19,17,16,14,11,9,7,4,2,1,8
PHARMACOLOGY & TOXICOLOGY,,,,,,,,,,,,
0.01%,1570,1273,1043,909,896,618,401,311,177,78,18,805
0.10%,625,490,483,353,333,246,197,134,75,33,7,319
1.00%,193,170,162,134,110,88,69,50,32,13,4,105
10.00%,57,53,48,42,36,29,24,18,11,5,2,30
20.00%,37,33,30,27,24,19,16,12,8,3,1,18
50.00%,15,14,13,11,10,8,7,5,3,1,1,6
PHYSICS,,,,,,,,,,,,
0.01%,2583,1373,2290,2028,1027,750,837,401,364,172,68,1181
0.10%,564,513,566,454,418,315,286,193,120,53,21,367
1.00%,163,155,154,136,124,102,84,62,41,19,6,106
10.00%,41,40,38,35,31,27,23,17,12,6,2,25
20.00%,24,23,22,21,19,16,14,11,7,4,1,14
50.00%,8,8,7,7,7,6,5,4,3,1,1,4
PLANT & ANIMAL SCIENCE,,,,,,,,,,,,
0.01%,1044,769,799,670,508,435,302,189,102,41,13,567
0.10%,401,328,285,250,222,176,127,88,54,23,9,220
1.00%,143,131,110,101,87,67,52,37,23,11,4,81
10.00%,42,38,34,31,27,22,17,13,8,4,2,22
20.00%,27,24,21,19,17,14,11,8,5,3,1,13
50.00%,10,9,8,8,7,6,4,3,2,1,1,4
PSYCHIATRY/PSYCHOLOGY,,,,,,,,,,,,
0.01%,1332,1485,1312,724,683,667,318,239,143,53,14,721
0.10%,570,520,410,339,313,250,161,118,58,27,7,314
1.00%,226,199,163,139,119,90,65,44,26,11,4,113
10.00%,66,60,51,43,37,28,22,15,9,4,2,30
20.00%,40,36,32,27,23,18,14,10,6,3,1,17
50.00%,15,13,12,10,9,8,6,4,3,1,1,5
"SOCIAL SCIENCES, GENERAL",,,,,,,,,,,,
0.01%,962,1084,493,497,404,452,191,158,96,37,14,453
0.10%,362,320,249,196,181,139,95,65,39,17,7,178
1.00%,127,113,92,78,67,50,39,27,16,8,3,64
10.00%,39,34,28,25,21,17,13,9,6,3,1,17
20.00%,23,20,17,15,13,10,8,6,4,2,1,9
50.00%,7,6,6,5,4,4,3,2,1,1,1,2
SPACE SCIENCE,,,,,,,,,,,,
0.01%,4369,3819,922,3046,1683,4257,615,1331,3182,153,158,1331
0.10%,640,654,593,525,425,406,251,242,166,60,26,427
1.00%,247,220,194,184,159,133,109,84,53,25,7,147
10.00%,72,66,59,57,51,43,36,28,18,9,2,42
20.00%,44,40,36,36,32,27,23,18,12,6,2,24
50.00%,16,15,14,14,13,11,10,7,5,2,1,8
Copyright © 2016 Thomson Reuters,,,,,,,,,,,,
