year;q0.9999;q0.999;q0.99;q0.9;q0.8;q0.5
2005;2022;560;179;54;34;13
2006;1175;458;171;51;32;13
2007;1203;408;138;45;29;11
2008;836;403;130;41;26;10
2009;1001;330;117;37;24;10
2010;658;282;89;30;20;8
2011;570;193;77;25;17;7
2012;275;132;55;19;13;5
2013;200;94;36;13;8;4
2014;97;45;18;7;4;2
2015;27;13;6;2;2;1
;0.9999;0.999;0.99;0.9;0.8;0.5
;10000;1000;100;10;3.333333333;2
;0.01;0.1;1;10;20;50
