year;q0.9999;q0.999;q0.99;q0.9;q0.8;q0.5
2004;986;545;160;51;32;12
2005;1722;453;148;47;30;11
2006;1007;368;140;44;28;11
2007;849;316;113;38;24;9
2008;646;313;102;34;22;9
2009;734;245;88;29;19;8
2010;460;185;65;23;15;6
2011;365;122;51;17;12;5
2012;169;74;31;11;7;3
2013;90;35;15;6;4;2
2014;31;11;5;2;1;1
;0.9999;0.999;0.99;0.9;0.7;0.5
;10000;1000;100;10;3.333333333;2
